# Generated by tools/wikispec_fetch.py on 2026-09-05. Do not edit by hand.
# Source: the per-car articles on en.wikipedia.org, {{Racing car}} infobox. CC BY-SA 4.0.
# Every row was checked against F1DB for constructor and seasons before it was written; see car_specs.log.
# article|chassis_ids|constructor_id|first_year|last_year|designers|chassis_type|susp_front|susp_rear|engine_name|engine_config|aspiration|engine_position|gearbox|gears|brakes|fuel|lubricants|tyres|predecessor|successor|debut|power_note|capacity_cc|power_bhp|weight_kg|wheelbase_mm|track_front_mm|track_rear_mm|fuel_l|races|wins|poles|fastest_laps|podiums|drivers_titles|constructors_titles
Benetton B201|benetton-b201|benetton|2001|2001|Pat Symonds (Executive Engineer); Mike Gascoyne (Technical Director); Tim Densham (Chief Designer); Ben Agathangelou (Head of Aerodynamics); Jean Jacques His (Engine Technical Director)|Carbon-fibre monocoque|double wishbone, pushrod|double wishbone, pushrod|Renault RS21|V10 (111°)|naturally aspirated|mid-engine|Benetton|6-speed||Elf||Michelin|B200|Renault R202|2001 Australian Grand Prix|780 hp @ 17,400 rpm||780|600|||||17|0|0|0|1|0|0
Brabham BT10|brabham-bt10|brabham|1964|1965|Ron Tauranac|Steel spaceframe|||Ford Cosworth 109E|Straight-4|naturally aspirated|mid-engine, longitudinally mounted|Hewland|5 speed||Sasol||Dunlop||Brabham BT16|1964 British Grand Prix||1500|||||||2|0|0|0||0|0
Brabham BT11|brabham-bt11|brabham|1964|1968|Ron Tauranac|Steel spaceframe|||Coventry Climax / BRM / Repco||naturally aspirated|mid-engine, longitudinally mounted|Hewland|5 speed||Esso, Sasol||Dunlop, Goodyear, Firestone|Brabham BT7|Brabham BT19|1964 Monaco Grand Prix||||460|||||33|0|0|1|8|0|0
Brabham BT19|brabham-bt19|brabham|1966|1967|Ron Tauranac|steel spaceframe|Double wishbone, coil springs / dampers|Single top-link, reverse lower wishbone, twin radius arms, coil spring / damper|Repco 620|90° V8|NA|mid-engine, longitudinally mounted|Hewland HD / DG|5-speed||Esso||Goodyear|BT11|BT20/BT24|1966 South African Grand Prix (non-championship); 1966 Monaco Grand Prix (World Drivers' Championship)||2995||518|2337|1359|1359||19|6|6|4||1|2
Brabham BT20|brabham-bt20|brabham|1966|1969|Ron Tauranac|Steel spaceframe, Fiberglass body|Double wishbones, coil springs over dampers, anti-roll bar|Double wishbones, twin radius-arms, coil springs over dampers, anti-roll bar|Repco-Brabham RB620; Repco-Brabham RB740; Repco-Brabham RB860|90° V8|NA|mid-engined, longitudinally mounted|Hewland|5 speed||||Goodyear; Firestone|BT19|BT24|1966 French Grand Prix||2996||560|||||22|1|2|1|7||
Brabham BT24|brabham-bt24|brabham|1967|1969|Ron Tauranac|Fibreglass body on tubular steel spaceframe|Double wishbones, coil springs over dampers, anti-roll bar|Double wishbones, twin radius arms, coil springs over dampers, anti-roll bar|Repco RB740|90° V8|NA|mid-engine, longitudinally mounted|Hewland DG 300|5-speed||Esso||Goodyear|BT20|BT26|1967 Belgian Grand Prix||2996|||||||21|3|0|1|12|1|1
Brabham BT26|brabham-bt26+brabham-bt26a|brabham|1968|1971|Ron Tauranac|Fibreglass body on tubular steel spaceframe with stressed skin sections|Double wishbones, coil springs over dampers, anti-roll bar|Double wishbones, twin radius arms, coil springs over dampers, anti-roll bar|Ford]]-Cosworth DFV; 2993 cc|90° V8|NA|mid-engine, longitudinally mounted|Hewland DG 300|5-speed||Esso||Goodyear, Dunlop|Brabham BT24|Brabham BT33|1968 Spanish Grand Prix|||||||||47|2|5|2||0|0
Brabham BT3|brabham-bt3|brabham|1962|1965|Ron Tauranac|Steel spaceframe|||Coventry Climax FWMV|90° V8|naturally aspirated|mid-engine, longitudinally mounted|Francis-Colotti Type-34|6 speed||||Dunlop||Brabham BT7|1962 German Grand Prix||1494|||||||9|0|0|0||0|0
Brabham BT34|brabham-bt34|brabham|1971|1972|Ron Tauranac|Aluminium monocoque.|||Ford-Cosworth DFV|90° V8|naturally aspirated|mid-mounted.|Hewland|5-speed||Esso||Goodyear|BT33|BT37|1971 South African Grand Prix||2993|||2413|1600|1600||20|0|1|0|0|0|0
Brabham BT37|brabham-bt37|brabham|1972|1973|Ralph Bellamy|Aluminum Monocoque|||Cosworth DFV|90 Degree V-8|Naturally Aspirated|Mid-Engined|Hewland FG400|5 Forward, 1 Reverse||Esso, Bardahl||Goodyear|BT34|BT42|1972 Spanish Grand Prix||2993||600|||||18|0|0|0|0|0|0
Brabham BT44|brabham-bt44+brabham-bt44b|brabham|1974|1976|Gordon Murray|Aluminum monocoque|Rising rate pullrod actuated|Multi-link|Cosworth DFV|90 Degree V-8|Naturally aspirated|Mid-engined|Hewland FG400|5 forward, 1 reverse||FINA||Goodyear|BT42|BT45|1974 Argentine Grand Prix||2993|||||||36|5|2|4||0|0
Brabham BT45|brabham-bt45+brabham-bt45b|brabham|1976|1977|Gordon Murray; Carlo Chiti|aluminium monocoque|double wishbones, pull-rod actuated coil springs over dampers, anti-roll bar|single top links, twin lower links, twin radius arms, coil springs over dampers, anti-roll bar|Alfa Romeo 115-12 and Ford-Cosworth DFV|Flat-12|NA|mid-engine, longitudinally mounted|Hewland, Brabham|6-speed||1976-1977: FINA; 1978: Agip||Goodyear|BT44|BT46|1976 Brazilian Grand Prix||2995|||2464|1448|1448||36|0|1|2||0|0
Brabham BT46|brabham-bt46+brabham-bt46b+brabham-bt46c|brabham|1978|1979|Gordon Murray; David Cox; Carlo Chiti|Aluminium Monocoque|Pullrod double wishbone|Pullrod double wishbone|Alfa Romeo|Flat-12|NA|Mid-engine, longitudinally-mounted|Brabham / Alfa Romeo|5/6-speed||Fina; Agip||Goodyear|BT45C|BT48|1978 South African Grand Prix|520 hp @ 12,000 rpm|2995|520||2590|1549|1549||15||2|||0|0
Brabham BT48|brabham-bt48|brabham|1979|1979|Gordon Murray (Technical Director); David North (Chief Designer); Carlo Chiti (Chief Engine Designer (Alfa Romeo))|Aluminium monocoque|||Alfa Romeo|60° V12|NA|mid-engine, longitudinally mounted|Hewland / Alfa Romeo|5/6-speed||Agip||Goodyear|BT46|BT49|1979 Argentine Grand Prix||2991|||2743|1731|1731||13|0|0|0||0|0
Brabham BT49|brabham-bt49|brabham|1979|1980|Gordon Murray (Technical Director); David North (Chief Designer)|Aluminium alloy monocoque|Double wishbone pullrod|Double wishbone pullrod; or Rocker arm|Cosworth DFV|90° V8|NA|mid-engine, longitudinally mounted|Hewland FGA 400 / Alfa Romeo|6-speed||1979: Agip ; 1980–1981: Elf ; 1981–1982: Valvoline||Goodyear / Michelin|BT48|BT50|1979 Canadian Grand Prix||2993||580|2718|1702|1702||38|7|7|4||1|0
